Date,Time,Open,High,Low,Close,Volume
20201214,04:40:00,104.046,104.047,104.019,104.030,566992000
20201214,04:45:00,104.030,104.039,104.025,104.036,388400000
20201214,04:50:00,104.036,104.047,104.029,104.046,433523008
20201214,04:55:00,104.047,104.053,104.036,104.051,465192000
20201214,05:00:00,104.051,104.057,104.036,104.036,511615008
20201214,05:05:00,104.037,104.045,104.031,104.043,250924992
20201214,05:10:00,104.043,104.049,104.039,104.042,337500000
20201214,05:15:00,104.043,104.047,104.041,104.044,231700000
20201214,05:20:00,104.043,104.052,104.035,104.036,605080000
20201214,05:25:00,104.036,104.050,104.036,104.044,339724992
20201214,05:30:00,104.044,104.044,104.036,104.041,398688000
20201214,05:35:00,104.042,104.048,104.035,104.044,328368000
20201214,05:40:00,104.045,104.049,104.038,104.044,460897984
20201214,05:45:00,104.044,104.045,104.030,104.034,380025984
20201214,05:50:00,104.035,104.037,104.018,104.024,419975008
20201214,05:55:00,104.025,104.041,104.019,104.030,596953984
20201214,06:00:00,104.031,104.033,104.023,104.030,497864992
20201214,06:05:00,104.030,104.030,104.020,104.021,248100000
20201214,06:10:00,104.020,104.031,104.009,104.012,424310016
20201214,06:15:00,104.013,104.015,104.001,104.008,346464992
20201214,06:20:00,104.007,104.016,104.006,104.012,188119008
20201214,06:25:00,104.011,104.015,104.000,104.009,529600000
20201214,06:30:00,104.008,104.015,104.000,104.000,342500000
20201214,06:35:00,104.000,104.005,103.998,103.999,278550016
20201214,06:40:00,104.002,104.007,103.999,104.001,412545984
20201214,06:45:00,104.002,104.003,103.986,103.987,182675008
20201214,06:50:00,103.986,103.991,103.980,103.986,502750016
20201214,06:55:00,103.987,103.989,103.973,103.980,879849984
20201214,07:00:00,103.980,103.990,103.966,103.970,1052182016
20201214,07:05:00,103.971,103.990,103.971,103.983,904550016
20201214,07:10:00,103.983,103.985,103.969,103.980,728600000
20201214,07:15:00,103.979,103.981,103.963,103.973,1033825984
20201214,07:20:00,103.973,103.973,103.950,103.961,834401984
20201214,07:25:00,103.960,103.971,103.960,103.969,785100032
20201214,07:30:00,103.969,103.974,103.965,103.967,981600000
20201214,07:35:00,103.966,103.968,103.955,103.959,854400000
20201214,07:40:00,103.958,103.975,103.953,103.973,901449984
20201214,07:45:00,103.972,103.984,103.972,103.974,878800000
20201214,07:50:00,103.974,103.978,103.957,103.964,1094432000
20201214,07:55:00,103.965,103.966,103.914,103.919,1340050048
20201214,08:00:00,103.920,103.921,103.884,103.920,2147483647
20201214,08:05:00,103.921,103.930,103.905,103.916,1393049984
20201214,08:10:00,103.917,103.942,103.906,103.912,1647200000
20201214,08:15:00,103.911,103.958,103.907,103.945,1243049984
20201214,08:20:00,103.947,103.955,103.913,103.915,1082649984
20201214,08:25:00,103.915,103.937,103.903,103.903,1023449984
20201214,08:30:00,103.902,103.945,103.894,103.931,951350016
20201214,08:35:00,103.930,103.930,103.886,103.888,1401750016
20201214,08:40:00,103.888,103.912,103.884,103.900,852800000
20201214,08:45:00,103.900,103.901,103.868,103.871,1495106944
20201214,08:50:00,103.871,103.872,103.848,103.865,1152816000
20201214,08:55:00,103.865,103.871,103.836,103.865,1308099968
20201214,09:00:00,103.865,103.888,103.860,103.887,1238749952
20201214,09:05:00,103.888,103.892,103.874,103.881,998600000
20201214,09:10:00,103.880,103.882,103.847,103.854,1109100032
20201214,09:15:00,103.853,103.860,103.843,103.855,822700032
20201214,09:20:00,103.855,103.865,103.840,103.847,1051900032
20201214,09:25:00,103.847,103.854,103.790,103.796,1279968000
20201214,09:30:00,103.796,103.799,103.755,103.777,1570227968
20201214,09:35:00,103.776,103.777,103.750,103.750,1278798976
20201214,09:40:00,103.751,103.772,103.750,103.771,1161949056
20201214,09:45:00,103.770,103.784,103.756,103.781,1047859008
20201214,09:50:00,103.782,103.797,103.774,103.796,950800000
20201214,09:55:00,103.797,103.797,103.749,103.753,1572249984
20201214,10:00:00,103.753,103.764,103.701,103.721,1952125056
20201214,10:05:00,103.720,103.732,103.702,103.719,949000000
20201214,10:10:00,103.720,103.723,103.701,103.703,1151449984
20201214,10:15:00,103.703,103.732,103.696,103.729,1464978048
20201214,10:20:00,103.729,103.744,103.710,103.722,781299968
20201214,10:25:00,103.722,103.742,103.717,103.741,722750016
20201214,10:30:00,103.741,103.743,103.717,103.739,857163008
20201214,10:35:00,103.739,103.739,103.704,103.704,1158000000
20201214,10:40:00,103.704,103.740,103.704,103.732,781097984
20201214,10:45:00,103.731,103.743,103.718,103.718,823449984
20201214,10:50:00,103.718,103.733,103.716,103.724,605150016
20201214,10:55:00,103.724,103.731,103.712,103.723,808742976
20201214,11:00:00,103.722,103.740,103.717,103.730,1159041024
20201214,11:05:00,103.730,103.737,103.721,103.722,497273984
20201214,11:10:00,103.723,103.759,103.723,103.759,736086016
20201214,11:15:00,103.760,103.777,103.754,103.775,712750016
20201214,11:20:00,103.774,103.774,103.758,103.769,582150016
20201214,11:25:00,103.769,103.772,103.759,103.771,400550016
20201214,11:30:00,103.770,103.812,103.770,103.785,920750016
20201214,11:35:00,103.785,103.786,103.758,103.764,990912000
20201214,11:40:00,103.764,103.764,103.729,103.741,565750016
20201214,11:45:00,103.741,103.742,103.729,103.736,457700000
20201214,11:50:00,103.734,103.740,103.731,103.738,915500032
20201214,11:55:00,103.739,103.764,103.732,103.756,1278400000
20201214,12:00:00,103.755,103.755,103.722,103.733,883699968
20201214,12:05:00,103.733,103.733,103.712,103.719,762550016
20201214,12:10:00,103.719,103.730,103.708,103.708,1069449984
20201214,12:15:00,103.707,103.731,103.700,103.729,899400000
20201214,12:20:00,103.729,103.749,103.716,103.743,1368956032
20201214,12:25:00,103.742,103.753,103.741,103.750,687998976
20201214,12:30:00,103.750,103.762,103.750,103.753,478449984
20201214,12:35:00,103.752,103.758,103.613,103.626,2096838016
20201214,12:40:00,103.627,103.654,103.616,103.640,2147483647
20201214,12:45:00,103.640,103.664,103.634,103.661,1286557952
20201214,12:50:00,103.661,103.692,103.661,103.691,1487600000
20201214,12:55:00,103.691,103.720,103.691,103.714,1660499968
20201214,13:00:00,103.714,103.754,103.693,103.748,1782558976
20201214,13:05:00,103.750,103.754,103.714,103.717,1049550016
20201214,13:10:00,103.718,103.718,103.693,103.693,1065550016
20201214,13:15:00,103.693,103.693,103.669,103.676,1292800000
20201214,13:20:00,103.676,103.706,103.675,103.693,1433799936
20201214,13:25:00,103.693,103.734,103.687,103.712,1237762048
